trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda
4219;72,28;50;6;1,201547933;0,672899989;0,401706588
4345;72,28;28;4;0,930997169;0,5;0,426063141
4374;72,28;28;4;1,056567059;0,5;0,422439725
4412;72,28;29;6;1,286165368;0,5;0,336054254
4450;72,28;28;4;1,065642087;0,5;0,424873985
4472;72,28;28;4;1,055765686;0,5;0,430120922
4761;72,28;43;4;0,954268072;0,5;0,329855957
5743;72,28;36;6;1,084388706;0,5;0,324899959
5759;72,28;46;4;0,987636853;0,5;0,422577926
5788;72,28;25;4;1,234485773;0,749340498;0,432278709
5794;72,28;38;8;0,954287998;0,5;0,338963319
5874;72,28;46;4;1,065394516;0,5;0,410933904
6045;72,28;37;6;1,149594496;0,5;0,336921224
6070;72,28;46;4;0,894436581;0,5;0,411638928
6104;72,28;46;4;1,119877145;0,5;0,423062648
6312;72,28;43;4;0,992587494;0,5;0,395099074
6709;72,28;46;4;0,902759449;0,5;0,411928139
6991;72,28;30;4;1,119980176;0,5;0,336203221
7125;72,28;37;5;1,208506182;0,5;0,35196464
7269;72,28;24;7;1,125632375;0,5;0,386903693
7305;72,28;50;8;0,88037143;0,5;0,373906629
168;72,26;50;6;1,174733952;0,744283344;0,423446503
169;72,26;50;6;1,16809106;0,744602313;0,424676479
221;72,26;50;6;1,287853036;0,934638409;0,369447715
383;72,26;50;6;0,948427349;0,5;0,404097663
387;72,26;50;6;1,376397089;0,696684687;0,363515214
413;72,26;50;6;1,223041101;0,694681286;0,374250524
415;72,26;50;6;1,255107543;0,665554214;0,385424516
416;72,26;50;6;1,254927008;0,665669371;0,385508628
480;72,26;50;6;1,12714487;0,814968652;0,388491245
557;72,26;50;6;1,128376539;0,5;0,385676157
647;72,26;50;6;1,183028844;0,5;0,383329141
883;72,26;50;6;1,38590217;0,898560256;0,371834756
928;72,26;50;6;1,239686977;0,980708467;0,396410429
936;72,26;50;6;1,343907093;0,923526927;0,379567459
945;72,26;50;6;0,862055683;0,5;0,392595041
946;72,26;50;6;0,862569199;0,5;0,392963085
952;72,26;50;6;1,222226053;1,032689131;0,402169844
997;72,26;50;6;1,362746094;0,5;0,370342304
1037;72,26;50;6;1,355543206;0,748214963;0,38026837
1081;72,26;50;6;1,251855964;0,5;0,358010217
1179;72,26;50;6;1,03459768;0,5;0,419978801
1184;72,26;50;6;1,357496768;0,5;0,369406946
1215;72,26;50;6;1,193053412;0,5;0,366850246
1382;72,26;50;6;1,138368588;0,660338569;0,382063773
1389;72,26;50;6;1,351007208;0,73756784;0,379499427
1427;72,26;50;6;0,862769226;0,656800657;0,399758747
1479;72,26;50;6;1,0559845;0,676690656;0,380885487
1599;72,26;50;6;1,390152937;0,700940961;0,351878128
2147;72,26;50;6;1,269145261;0,5;0,418187513
2357;72,26;50;6;1,313799728;0,883483232;0,408569065
2518;72,26;50;6;1,359683985;0,658556203;0,389052164
2524;72,26;35;6;1,044218837;0,5;0,353188282
2595;72,26;50;6;1,345795469;0,5;0,358113448
2885;72,26;50;6;1,344448169;0,937458485;0,404000587
3552;72,26;50;6;1,007156065;0,870002984;0,394898304
3567;72,26;50;6;1,187033995;0,653803059;0,406369296
3568;72,26;50;6;1,351037169;0,925987232;0,363417897
3593;72,26;50;5;1,422809671;0,5;0,350029705
3698;72,26;50;6;1,054527669;0,701608025;0,377376607
3763;72,26;50;6;0,919371812;0,5;0,40529299
3780;72,26;50;6;0,956706568;0,677458429;0,386977571
3837;72,26;50;6;0,920867479;0,5;0,405229278
3993;72,26;50;5;1,041943215;0,5;0,399569084
4000;72,26;50;6;1,34561599;0,818495783;0,385356933
4210;72,26;50;6;1,425967812;0,729596978;0,381713264
4389;72,26;29;6;1,382533855;0,5;0,333879756
4451;72,26;28;4;0,993429892;0,5;0,399445196
4470;72,26;29;6;1,354450029;0,680803631;0,334561098
4532;72,26;27;4;0,923403518;0,5;0,407174636
5023;72,26;45;6;1,114338792;0,5;0,426331892
5673;72,26;38;8;0,95453384;0,5;0,342824097
5783;72,26;25;4;1,232466795;0,748842874;0,432270278
