tukey_lambda;shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
0,434389389;1,056173211;1,284689539;6;38;52,84999466
0,449845749;1,109234659;1,26853932;5;41;52,84999466
0,470300556;0,927448422;1,549807636;4;42;52,84999466
0,434907708;1,134294327;1,453208756;10;42;52,84000015
0,457148092;1,14271606;1,461862699;6;42;52,84000015
0,411971513;1,135121621;2;6;32;52,84000015
0,453161528;0,940180016;1,240767727;4;50;52,84000015
0,452404465;1,134848566;1,632972955;5;42;52,84000015
0,451483381;1,171808194;1,634649649;5;42;52,84000015
0,430926508;1,143626668;1,663874999;5;41;52,84000015
0,466886996;1,050885575;1,598845561;6;42;52,84000015
0,413992709;1,2132164;2;8;31;52,84000015
0,430028336;1,257214434;1,678452366;6;37;52,84000015
0,436519829;1,052260432;1,105470488;8;26;52,84000015
0,46561441;1,159805343;2;6;38;52,84000015
0,450560109;1,032973612;1,594337074;6;39;52,84000015
0,464066273;1,161852405;1,630471858;8;38;52,84000015
0,445635989;1,134083038;2;4;40;52,84000015
0,429956832;1,141532675;1,628269723;6;40;52,84000015
0,410155244;1,036097238;2;6;30;52,84000015
0,444128186;1,264357678;1,585678621;7;35;52,84000015
0,436530296;1,182163821;1,309533698;6;40;52,84000015
0,442017517;1,166147623;2;8;39;52,84000015
0,436033699;1,106233529;1,625524353;6;40;52,84000015
0,432231622;0,998710805;1,261830531;6;29;52,84000015
0,437812043;1,132239293;1,662890919;6;40;52,84000015
0,440825645;1,033572399;1,157550165;8;41;52,84000015
0,443018829;1,247225979;2;6;40;52,84000015
0,442402304;1,04838781;1,357139986;6;41;52,84000015
0,443038411;1,032119317;1,392222321;5;42;52,84000015
0,429178812;1,120459568;1,289044974;6;41;52,84000015
0,444209848;1,119908335;2;6;40;52,84000015
0,410444522;1,185314289;2;9;50;52,84000015
0,433465479;1,03687119;1,146862902;6;25;52,84000015
0,407394328;1,02236986;1,589000878;7;28;52,84000015
0,436304509;1,438474499;2;8;36;52,84000015
0,455329203;1,213590436;1,614584876;8;36;52,84000015
0,442417651;1,08266811;1,664504282;6;39;52,84000015
0,428746107;1,046885689;1,661339055;7;28;52,84000015
0,444414308;1,437319625;1,628402301;8;40;52,84000015
0,42991347;1,068404961;1,61000481;6;42;52,82999802
0,44247543;1,244716394;2;6;43;52,82999802
0,457436188;1,147245534;1,420993016;6;42;52,82999802
0,462849154;1,376567771;1,541845799;4;36;52,82999802
0,437966626;1,117089231;1,193062187;6;42;52,82999802
0,446335038;1,313380105;1,387857035;8;38;52,82999802
0,455698046;0,926044834;1,207050863;4;50;52,82999802
0,458499575;1,020015451;1,590376402;5;42;52,82999802
0,467255479;1,017282369;1,560990271;6;50;52,82999802
0,434236487;1,041475047;2;6;32;52,82999802
0,402226876;1,049840332;1,646104506;6;30;52,82999802
0,410084703;1,238730904;2;8;30;52,82999802
0,44219527;1,080260626;1,215810955;6;44;52,82999802
0,420678214;1,220240503;1,453969743;6;39;52,82999802
0,422934623;1,053116808;1,421468038;8;30;52,82999802
0,430473431;1,131061532;1,503048167;8;39;52,82999802
0,409493426;1,210415224;2;9;50;52,82999802
0,454066965;1,103029379;2;4;50;52,82999802
0,446804546;1,081809982;1,592616227;8;39;52,82999802
0,462645845;1,000169004;1,540107748;4;50;52,82999802
0,449559333;0,996708442;1,533852831;6;38;52,82999802
0,45398827;0,954808823;1,581071725;6;30;52,82999802
0,435285641;1,129197775;1,643496937;6;40;52,82999802
0,447825103;0,975022896;1,577465507;6;27;52,82999802
0,444690028;0,924003797;1,571248488;4;50;52,82999802
0,442238623;1,275927667;1,639156951;6;41;52,82999802
0,448495191;1,189809259;1,278314793;6;40;52,82999802
0,441071766;1,04467574;1,395892955;6;41;52,82999802
0,466968422;1,192328029;2;8;36;52,82999802
0,426198209;1,040929468;1,629980431;7;28;52,82999802
0,424406103;1,157936997;2;8;28;52,82999802
0,437381645;1,456394816;2;8;36;52,82999802
0,42348214;1,253455855;1,535348522;10;35;52,82999802
0,459954616;1,060002055;1,519253961;10;35;52,82999802
0,416735926;1,15854862;1,559239351;4;41;52,82999802
0,437517481;1,167687352;2;6;42;52,82999802
0,43211039;1,112412727;1,618918562;6;41;52,82999802
0,420328176;1,079990153;2;7;28;52,82999802
0,452433355;1,163023084;1,69615813;6;39;52,82999802
0,430751745;1,206787942;1,57485507;8;28;52,82999802
0,42711742;1,073741231;2;7;38;52,82999802
0,446054307;0,982993123;1,300231223;5;43;52,82999802
0,405539755;0,90707494;1,464561909;9;27;52,82999802
0,422422575;1,225094244;2;8;50;52,81999588
0,438250874;1,237466321;1,707825935;8;42;52,81999588
0,452558903;1,227094238;2;6;41;52,81999588
0,439542152;1,190455174;1,67387706;6;36;52,81999588
0,452289313;0,947551166;1,235716371;4;50;52,81999588
0,455962897;1,050047527;1,580592731;6;50;52,81999588
0,46423311;1,090840741;1,523422958;4;36;52,81999588
0,457884859;1,025918782;1,58952153;5;42;52,81999588
0,466660828;1,045986679;1,598254249;6;42;52,81999588
0,466945978;1,048221784;1,598675385;6;42;52,81999588
0,467360759;1,012935184;1,560870478;6;50;52,81999588
0,412423287;1,036661667;1,616846044;6;33;52,81999588
0,477227144;1,086256468;1,300933506;5;27;52,81999588
0,448377034;1,290166915;1,654008306;7;38;52,81999588
0,443397886;1,146899495;1,608115636;7;39;52,81999588
0,460988965;1,193337742;1,362211583;8;38;52,81999588
0,430547137;0,993234227;1,551022184;7;30;52,81999588
0,423775496;0,972597465;1,509325616;7;30;52,81999588
0,441717344;1,014601092;2;6;25;52,81999588
0,419637928;0,894526358;1,087009498;4;50;52,81999588
0,436964721;1,381172479;2;8;38;52,81999588
0,420411777;0,871467662;1,106174395;6;30;52,81999588
0,452690123;1,068874322;1,58569207;4;40;52,81999588
0,444505558;1,209282979;1,639309343;8;39;52,81999588
0,442193338;1,211560731;1,323634688;6;40;52,81999588
0,405247099;1,055548524;1,581139836;6;29;52,81999588
0,459471295;1,103609624;2;8;39;52,81999588
0,462516841;0,909986654;1,436573949;4;41;52,81999588
0,458528991;1,27380071;2;8;36;52,81999588
0,434379742;1,243308607;1,638110955;5;36;52,81999588
0,448435515;1,234489555;2;8;30;52,81999588
0,441010869;1,127019309;1,639751919;7;40;52,81999588
0,446455751;1,299927141;1,634226299;6;36;52,81999588
0,431433674;1,100955638;2;6;25;52,81999588
0,440732602;1,168870596;1,498392507;10;35;52,81999588
0,446726459;1,187420172;1,699025097;6;40;52,81999588
0,442571021;1,265484215;2;10;35;52,81999588
0,44870568;0,995162065;1,270318579;6;28;52,81999588
0,424537433;1,143558855;1,481411296;10;36;52,81999588
0,446031732;1,283255183;1,666269755;6;41;52,81999588
0,445170859;1,195752385;1,6509984;5;37;52,81999588
0,43490712;1,080697098;2;6;32;52,81999588
0,462817953;1,051931001;1,592428707;8;29;52,81999588
0,456376038;1,31348009;2;8;38;52,81999588
0,430358883;1,112929023;1,630400188;6;41;52,81999588
0,436208071;1,433993933;2;6;41;52,81999588
0,409741176;1,098982524;2;8;38;52,81000137
0,41869578;1,162703761;2;9;50;52,81000137
0,432891358;1,346526212;1,507943612;6;41;52,81000137
0,426643531;1,047078756;1,620856918;6;42;52,81000137
0,470884811;1,067377809;1,30347166;6;43;52,81000137
0,415697061;1,355015712;2;6;30;52,81000137
0,432386074;1,232320793;2;6;50;52,81000137
0,431653878;1,075454046;1,577648928;4;42;52,81000137
0,457224932;1,093498154;1,601277728;5;43;52,81000137
0,456004982;1,167573961;2;7;40;52,81000137
0,436672947;1,068714143;2;5;30;52,81000137
0,48122021;1,01602792;1,063112712;6;43;52,81000137
0,442879725;1,086573702;1,230444102;6;44;52,81000137
0,445649913;1,175113091;1,583974711;8;39;52,81000137
0,45488823;1,263392445;2;7;38;52,81000137
0,448429264;0,784435903;0,979401884;4;44;52,81000137
0,477764618;1,135706682;1,542795724;6;38;52,81000137
0,440610662;0,996209013;2;7;30;52,81000137
0,453264096;1,028436275;1,566607933;7;38;52,81000137
0,433538168;1,039368478;1,5557685;8;25;52,81000137
