shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
10.0,0.0,19,1,63.696922302246094
5.254417280847542,10.0,1,1,62.014991760253906
9.263559090851892,0.0,1,5,62.647796630859375
10.0,0.952860195159157,38,1,63.696922302246094
10.0,1.0044832995085489e-09,50,1,63.696922302246094
10.0,7.083461467977282,50,1,63.696922302246094
10.0,7.336485352040524e-13,46,1,63.696922302246094
10.0,1.7172958182242167e-07,50,1,63.696922302246094
10.0,0.6947330906785064,50,1,63.696922302246094
9.498391957629938,7.6153446332337165,50,1,63.59700393676758
10.0,1.6638709255911755e-05,50,1,63.696922302246094
10.0,5.716996625870606e-09,50,1,63.696922302246094
